,Player,Nationality,Position,Club,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp%,Thr,AvgLen,AvgLen.1,Opp,Stp%,#OPA/90,AvgDist
36,Remko Pasveer, NED,GK,Ajax,38,1983,6,16,2,0,3,0,14.6,0.34,-1.4,-0.24,19.8,29,32.8,38.5,85,4.7,0.83,12.4
37,Iñaki Peña, ESP,GK,Barcelona,23,1999,1,2,1,0,0,0,2.9,0.24,0.9,0.86,33.3,5,20,24.4,18,5.6,0,8
38,Mattia Perin, ITA,GK,Juventus,29,1992,2,4,1,0,0,0,4.6,0.28,0.6,0.29,46.2,11,32.3,16.4,22,0,0.5,10.7
39,Mathew Ryan, AUS,GK,FC Copenhagen,30,1992,2,3,0,0,0,0,2.7,0.45,-0.3,-0.14,33.3,6,39.1,67.1,22,9.1,0.5,13.2
40,Yann Sommer, SUI,GK,Bayern Munich,33,1988,4,4,0,0,1,0,5.8,0.35,1.8,0.46,36.8,17,25.5,25.9,42,2.4,1,11.9
41,Jindřich Staněk, CZE,GK,Viktoria Plzeň,26,1996,5,19,0,0,1,0,18.4,0.46,-0.6,-0.13,46.5,17,41.4,54.6,74,2.7,1.6,17.1
42,Wojciech Szczęsny, POL,GK,Juventus,32,1990,4,9,1,0,1,0,6.8,0.3,-2.2,-0.56,41.7,16,28.5,32.9,42,4.8,0.75,15.8
43,Ciprian Tătărușanu, ROU,GK,Milan,36,1986,5,5,1,0,1,0,6.9,0.24,1.9,0.39,52.3,15,32.7,39.3,56,5.4,2.2,21.3
44,Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5,10,0,0,2,0,9.7,0.46,-0.3,-0.06,68.6,22,26.7,30.7,41,0,1.2,20.2
45,Kevin Trapp, GER,GK,Eint Frankfurt,32,1990,8,13,2,0,0,0,14.5,0.29,1.5,0.19,25.3,33,37.2,28.9,81,4.9,0.63,13
46,Anatolii Trubin, UKR,GK,Shakhtar,20,2001,6,10,0,0,0,2,9,0.25,1,0.17,31,25,27,44.5,122,3.3,0.33,8.7
47,Marián Tvrdoň, SVK,GK,Viktoria Plzeň,27,1994,1,5,0,0,0,0,4.6,0.35,-0.4,-0.4,43.8,7,43,64.6,5,0,0,9.3
48,Sven Ulreich, GER,GK,Bayern Munich,33,1988,3,2,0,0,0,0,2.9,0.3,0.9,0.31,42.1,14,27.2,15.9,43,2.3,1,16.4
49,Odisseas Vlachodimos, GRE,GK,Benfica,28,1994,10,13,3,0,1,0,12.1,0.32,-0.9,-0.09,30.1,42,33.5,36.7,140,4.3,1.1,14.8
