Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Tackles + internceptions,Clearances,Errors
Bernardo Silva, POR,"FW,MF",Manchester City,27,1994,10.1,19,10,4,8,7,10,32,31.3,22,11,0,11,9,28,5,0
Carlos Soler, ESP,MF,Paris S-G,25,1997,1.7,4,4,2,0,2,1,2,50.0,1,1,0,1,3,7,1,0
John Stones, ENG,"MF,DF",Manchester City,28,1994,7.6,2,2,2,0,0,1,3,33.3,2,6,4,2,4,6,10,0
Aurélien Tchouaméni, FRA,MF,Real Madrid,22,2000,4.8,10,7,4,5,1,5,5,100.0,0,5,0,5,7,17,3,0
Jesús Vallejo, ESP,DF,Real Madrid,25,1997,0.2,2,2,1,0,1,2,2,100.0,0,1,1,0,0,2,2,0
Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,10.7,18,7,6,7,5,9,20,45.0,11,17,1,16,14,32,13,0
Lucas Vázquez, ESP,DF,Real Madrid,31,1991,2.2,4,1,1,3,0,0,4,0.0,4,1,0,1,3,7,4,0
Marco Verratti, ITA,MF,Paris S-G,29,1992,6.9,27,18,12,12,3,9,28,32.1,19,13,5,8,6,33,0,2
Vitinha, POR,MF,Paris S-G,22,2000,6.5,8,6,3,4,1,1,11,9.1,10,8,1,7,13,21,1,0
Kyle Walker, ENG,"DF,FW",Manchester City,32,1990,3.1,9,7,4,3,2,7,9,77.8,2,1,1,0,3,12,8,0
Josh Wilson-Esbrand, ENG,DF,Manchester City,19,2002,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Warren Zaire-Emery, FRA,MF,Paris S-G,16,2006,0.9,2,2,1,1,0,2,5,40.0,3,0,0,0,0,2,0,0
