,Player,Nationality,Position,Club,Age,Born,90s,Yellow Cards,Red Cards,2nd Yellows,Fouls Comitted,Fouls Drawn,Crosses,Interceptions,Tackles won,penalties won,penalties comitted,own goals ,ball recoveries
659,Pape Gueye, SEN,MF,Marseille,23,1999,0.4,0,0,0,1,2,0,0,1,0,0,0,0
660,Luís Neto, POR,DF,Sporting CP,34,1988,0.4,0,0,0,0,0,0,0,0,1,0,0,0
661,Pedro Porro, ESP,DF,Tottenham,22,1999,0.4,0,0,0,1,0,0,8,0,0,0,0,0
662,Paul Wanner, GER,"DF,FW",Bayern Munich,16,2005,0.4,0,0,0,1,0,0,1,1,0,0,0,0
663,Peter Ankersen, DEN,DF,FC Copenhagen,31,1990,0.3,0,0,0,0,0,0,0,0,0,0,0,0
664,Marko Bulat, CRO,MF,Dinamo Zagreb,20,2001,0.3,0,0,0,0,0,0,0,0,1,0,0,0
665,Marc Casado, ESP,MF,Barcelona,18,2003,0.3,0,0,0,0,1,0,0,0,0,0,0,0
666,Dario Essugo, POR,MF,Sporting CP,17,2005,0.3,0,0,0,0,1,0,1,0,2,0,0,0
667,Mateus Fernandes, POR,MF,Sporting CP,18,2004,0.3,0,0,0,2,1,0,0,0,0,0,0,0
668,Gianluca Gaetano, ITA,MF,Napoli,22,2000,0.3,0,0,0,2,0,0,0,0,0,0,0,0
669,João Neves, POR,"FW,MF",Benfica,17,2004,0.3,0,0,0,0,0,0,1,0,1,0,0,0
670,Valentin Carboni, ARG,FW,Inter,17,2005,0.2,1,0,0,1,0,0,0,0,0,0,0,0
671,Francisco Conceição, POR,"FW,MF",Ajax,19,2002,0.2,1,0,0,1,3,0,0,0,0,0,0,0
672,Julian Ryerson, NOR,DF,Dortmund,24,1997,0.2,1,0,0,1,1,0,0,0,0,0,0,0
673,Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,0.2,0,0,0,0,0,1,0,0,0,0,0,0
674,Ofri Arad, ISR,"DF,MF",Maccabi Haifa,23,1998,0.2,0,0,0,2,0,0,0,1,2,0,0,0
675,Federico Chiesa, ITA,FW,Juventus,24,1997,0.2,0,0,0,1,0,1,0,0,0,0,0,0
676,Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,0.2,0,0,0,1,0,0,0,1,0,0,0,0
677,André Franco, POR,MF,Porto,24,1998,0.2,0,0,0,0,0,0,6,0,1,0,0,0
678,Samuel Iling-Junior, ENG,DF,Juventus,18,2003,0.2,0,0,0,0,0,0,4,1,0,0,0,0
679,Sekou Koita, MLI,FW,RB Salzburg,22,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0
680,Rasmus Lauritsen, DEN,DF,Dinamo Zagreb,26,1996,0.2,0,0,0,0,0,0,0,1,0,0,0,0
681,Mahir Madatov, AZE,FW,Dinamo Zagreb,25,1997,0.2,0,0,0,1,0,0,0,0,0,0,0,0
682,Arthur Melo, BRA,MF,Liverpool,25,1996,0.2,0,0,0,0,1,0,0,0,0,0,0,0
683,Memphis, NED,FW,Barcelona,28,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0
684,Lucas Ocampos, ARG,FW,Ajax,28,1994,0.2,0,0,0,0,1,0,0,1,0,0,0,0
685,Oleh Ocheretko, UKR,MF,Shakhtar,19,2003,0.2,0,0,0,0,0,0,0,0,2,0,0,0
686,Alex Oxlade-Chamberlain, ENG,MF,Liverpool,28,1993,0.2,0,0,0,0,0,0,0,1,1,0,0,0
687,Rodrigo Pinho, BRA,FW,Benfica,31,1991,0.2,0,0,0,1,1,1,0,0,0,0,0,0
688,Mats Rits, BEL,MF,Club Brugge,29,1993,0.2,0,0,0,0,0,0,0,0,1,0,0,0
689,Rochinha, POR,"MF,FW",Sporting CP,27,1995,0.2,0,0,0,0,1,0,1,0,0,0,0,0
690,Davinson Sánchez, COL,DF,Tottenham,26,1996,0.2,0,0,0,1,0,0,1,0,0,0,0,0
691,Alvaro Sanz, ESP,MF,Barcelona,21,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0
692,Roko Simic, CRO,FW,RB Salzburg,18,2003,0.2,0,0,0,2,0,0,0,0,0,0,0,0
693,Orri Steinn Óskarsson, ISL,"MF,FW",FC Copenhagen,17,2004,0.2,0,0,0,1,0,0,0,0,0,0,0,0
694,Japhet Tanganga, ENG,DF,Tottenham,23,1999,0.2,0,0,0,0,0,0,0,0,1,0,0,0
695,Andriy Totovytskyi, UKR,MF,Shakhtar,29,1993,0.2,0,0,0,0,0,0,1,0,0,0,0,0
696,Jesús Vallejo, ESP,DF,Real Madrid,25,1997,0.2,0,0,0,0,0,0,0,0,2,0,0,0
697,Antonio Marin, CRO,FW,Dinamo Zagreb,21,2001,0.1,1,0,0,1,0,0,0,0,0,0,0,0
698,Henrique Araújo, POR,FW,Benfica,20,2002,0.1,0,0,0,0,0,0,2,0,0,0,0,0
699,Lynnt Audoor, BEL,MF,Club Brugge,18,2003,0.1,0,0,0,2,0,0,0,0,0,0,0,0
700,Sardar Azmoun, IRN,FW,Leverkusen,27,1995,0.1,0,0,0,0,0,1,0,0,0,0,0,0
701,Pablo Barrios, ESP,MF,Atlético Madrid,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0
702,Alexandro Bernabei, ARG,FW,Celtic,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0
703,Jovane Cabral, CPV,MF,Sporting CP,24,1998,0.1,0,0,0,0,0,0,2,0,0,0,0,0
704,Timothy Chandler, USA,DF,Eint Frankfurt,32,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0
705,Rodrigo Conceição, POR,DF,Porto,22,2000,0.1,0,0,0,1,0,0,0,0,1,0,0,0
706,Arnaut Danjuma, NED,MF,Tottenham,25,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0
707,Bernardo Folha, POR,MF,Porto,20,2002,0.1,0,0,0,1,0,0,0,0,1,0,0,0
708,Timothy Fosu-Mensah, NED,"MF,DF",Leverkusen,24,1998,0.1,0,0,0,0,0,0,0,1,1,0,0,0
