,Player,Nationality,Position,Club ,Age,Born,90s,Total Passes completion %,Progressive passing distance,Passes completed (short) %,Passes completed (medium) %,Passes completed (long) %,Assists,Expected Assist Goals (xAG),xA,A-xAG,Key Passes,Passes into Final third,Passes into Penalty Area,Crosses into Penalty Area,Progressive passes
33,Kepa Arrizabalaga,ESP,GK,Chelsea,27,1994,9.0,72.9,3291,100.0,94.0,47.2,0,0.0,0.0,0.0,0,1,0,0,1
34,Arthur,BRA,"MF,FW",Sporting CP,24,1998,1.2,76.7,129,89.5,85.7,40.0,0,0.3,0.3,-0.3,2,4,3,0,5
35,Marco Asensio,ESP,"FW,MF",Real Madrid,26,1996,3.6,86.8,477,88.9,89.3,66.7,1,1.7,1.7,-0.7,9,15,4,2,19
36,Kristjan Asllani,ALB,MF,Inter,20,2002,1.4,79.7,327,95.2,88.2,57.1,0,0.3,0.4,-0.3,2,6,2,0,3
37,Omer Atzili,ISR,"FW,MF",Maccabi Haifa,29,1993,3.4,67.2,497,81.5,71.0,50.0,1,0.7,0.4,0.3,10,6,7,3,12
38,Pierre-Emerick Aubameyang,GAB,FW,Chelsea,33,1989,4.5,76.5,200,81.5,81.6,0.0,1,0.5,0.3,0.5,6,4,4,0,11
39,Lynnt Audoor,BEL,MF,Club Brugge,18,2003,0.1,50.0,13,33.3,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
40,Fredrik Aursnes,NOR,"FW,MF",Benfica,26,1995,6.9,80.5,1170,87.9,87.0,52.9,0,0.6,1.0,-0.6,11,20,7,1,30
41,Sardar Azmoun,IRN,FW,Leverkusen,27,1995,0.1,66.7,36,0.0,100.0,0.0,0,0.1,0.0,-0.1,1,0,1,0,2
42,César Azpilicueta,ESP,DF,Chelsea,32,1989,2.9,88.9,1284,94.8,92.5,52.6,0,0.2,0.3,-0.2,4,26,3,2,15
43,Youri Baas,NED,DF,Ajax,19,2003,0.5,85.2,58,92.9,83.3,0.0,0,0.0,0.0,0.0,0,1,0,0,1
44,Alexander Bah,DEN,DF,Benfica,24,1997,7.3,78.9,2818,86.2,82.2,62.8,2,1.0,0.9,1.0,11,43,9,3,44
45,Eric Bailly,CIV,DF,Marseille,28,1994,3.4,85.7,1205,83.6,92.8,71.9,0,0.0,0.0,0.0,0,12,0,0,12
46,Stefan Bajcetic,ESP,MF,Liverpool,17,2004,1.2,78.9,198,83.9,82.8,63.6,0,0.0,0.0,0.0,0,3,0,0,6
47,Mitchel Bakker,NED,"MF,DF",Leverkusen,22,2000,3.8,81.0,796,92.4,80.0,40.0,0,0.3,0.2,-0.3,4,14,3,0,21
48,Alejandro Balde,ESP,DF,Barcelona,18,2003,1.9,87.0,416,91.7,92.6,57.1,0,0.0,0.2,0.0,1,6,4,2,11
49,Leonardo Balerdi,ARG,DF,Marseille,23,1999,5.5,87.0,1682,90.9,89.6,83.3,0,0.0,0.1,0.0,0,26,1,0,29
