,Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Clearances,Errors
177,Matt Doherty, IRL,DF,Tottenham,30,1992,0.8,1,1,1,1,100.0,0,2,0,2,2,1,0
178,Kasper Dolberg, DEN,FW,Sevilla,24,1997,1.2,0,0,0,0,0.0,0,2,0,2,1,1,0
179,Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8.0,0,0,0,0,0.0,0,0,0,0,0,7,1
180,Julian Draxler, GER,MF,Benfica,28,1993,0.4,1,0,0,1,0.0,1,0,0,0,0,0,0
181,Josip Drmić, SUI,FW,Dinamo Zagreb,29,1992,1.1,0,0,0,1,0.0,1,0,0,0,0,2,0
182,Denzel Dumfries, NED,DF,Inter,26,1996,9.8,9,6,5,11,45.5,6,14,4,10,8,19,0
183,Edin Džeko, BIH,FW,Inter,36,1986,9.2,4,2,3,7,42.9,4,11,2,9,0,16,0
184,Ederson, BRA,GK,Manchester City,28,1993,11.0,0,0,0,0,0.0,0,0,0,0,0,5,0
185,Jorge Eduardo Sánchez, MEX,DF,Ajax,24,1997,3.0,10,4,7,11,63.6,4,3,1,2,2,9,0
186,Marcus Edwards, ENG,"FW,MF",Sporting CP,23,1998,3.9,3,0,1,6,16.7,5,1,0,1,1,1,0
187,Hugo Ekitike, FRA,"MF,FW",Paris S-G,20,2002,0.7,1,1,1,1,100.0,0,0,0,0,0,0,0
188,Harvey Elliott, ENG,MF,Liverpool,19,2003,4.4,8,5,4,8,50.0,4,10,0,10,5,4,0
189,Elif Elmas, MKD,"FW,MF",Napoli,22,1999,3.2,8,1,5,10,50.0,5,5,1,4,0,2,0
190,Emerson, BRA,"DF,MF",Tottenham,23,1999,6.0,18,11,7,14,50.0,7,4,0,4,3,13,0
