,Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Goals minus expected goals
74,Modou Biramé Ndiaye, SEN,MF,Viktoria Plzeň,25,1996,2.0,0,3,1,33.3,1.48,0.49,0.0,0.0,26.1,0,0,0,0.1,-0.1
75,Yves Bissouma, MLI,MF,Tottenham,25,1996,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
76,Janis Blaswich, GER,GK,RB Leipzig,31,1991,5.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
77,Daley Blind, NED,DF,Ajax,32,1990,4.5,0,3,0,0.0,0.66,0.0,0.0,0.0,18.0,0,0,0,0.2,-0.2
78,Petar Bočkaj, CRO,"DF,FW",Dinamo Zagreb,26,1996,0.4,0,3,1,33.3,6.92,2.31,0.0,0.0,20.7,1,0,0,0.3,-0.3
79,Nicolai Boilesen, DEN,DF,FC Copenhagen,30,1992,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
80,Valerii Bondar, UKR,DF,Shakhtar,23,1999,6.0,0,1,1,100.0,0.17,0.17,0.0,0.0,9.4,0,0,0,0.0,0.0
81,Artem Bondarenko, UKR,MF,Shakhtar,21,2000,5.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
82,Leonardo Bonucci, ITA,DF,Juventus,35,1987,4.9,1,2,1,50.0,0.41,0.2,0.5,1.0,16.3,0,0,0,0.8,0.2
83,Gonçalo Borges, POR,"MF,FW",Porto,21,2001,0.4,0,1,0,0.0,2.31,0.0,0.0,0.0,22.2,0,0,0,0.1,-0.1
84,Rafael Borré, COL,FW,Eint Frankfurt,26,1995,2.5,0,6,2,33.3,2.37,0.79,0.0,0.0,16.4,0,0,0,0.5,-0.5
85,Yassine Bounou, MAR,GK,Sevilla,31,1991,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
86,Dedryck Boyata, BEL,DF,Club Brugge,31,1990,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
87,Julian Brandt, GER,"MF,FW",Dortmund,26,1996,5.3,1,12,3,25.0,2.27,0.57,0.08,0.33,19.0,1,0,0,0.8,0.2
88,Gleison Bremer, BRA,DF,Juventus,25,1997,3.0,0,3,0,0.0,1.0,0.0,0.0,0.0,18.1,0,0,0,0.4,-0.4
89,Brian Brobbey, NED,FW,Ajax,20,2002,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
90,Armando Broja, ALB,FW,Chelsea,20,2001,1.3,0,1,0,0.0,0.78,0.0,0.0,0.0,12.0,0,0,0,0.1,-0.1
91,Marcelo Brozović, CRO,MF,Inter,29,1992,6.1,0,4,0,0.0,0.66,0.0,0.0,0.0,24.6,1,0,0,0.2,-0.2
92,Pavel Bucha, CZE,MF,Viktoria Plzeň,24,1998,4.0,0,3,0,0.0,0.74,0.0,0.0,0.0,23.2,0,0,0,0.1,-0.1
93,Tajon Buchanan, CAN,"DF,MF",Club Brugge,23,1999,5.8,0,8,1,12.5,1.38,0.17,0.0,0.0,20.8,0,0,0,0.4,-0.4
94,Marko Bulat, CRO,MF,Dinamo Zagreb,20,2001,0.3,0,1,0,0.0,3.1,0.0,0.0,0.0,23.5,0,0,0,0.0,0.0
95,Sergio Busquets, ESP,MF,Barcelona,34,1988,3.2,0,2,0,0.0,0.62,0.0,0.0,0.0,13.8,0,0,0,0.2,-0.2
96,Aurélio Buta, POR,DF,Eint Frankfurt,25,1997,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
97,Jamie Bynoe-Gittens, ENG,MF,Dortmund,17,2004,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
98,Jovane Cabral, CPV,MF,Sporting CP,24,1998,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
99,Davide Calabria, ITA,DF,Milan,25,1996,5.5,0,3,0,0.0,0.54,0.0,0.0,0.0,20.8,0,0,0,0.2,-0.2
100,Hakan Çalhanoğlu, TUR,MF,Inter,28,1994,8.9,1,13,4,30.8,1.46,0.45,0.08,0.25,26.6,1,0,0,0.4,0.6
101,Eduardo Camavinga, FRA,"MF,DF",Real Madrid,19,2002,8.0,0,4,1,25.0,0.5,0.12,0.0,0.0,19.4,0,0,0,0.3,-0.3
102,Emre Can, GER,MF,Dortmund,28,1994,6.3,0,6,2,33.3,0.96,0.32,0.0,0.0,30.9,0,0,0,0.2,-0.2
103,João Cancelo, POR,DF,Bayern Munich,28,1994,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
104,João Cancelo, POR,DF,Manchester City,28,1994,4.2,0,8,2,25.0,1.91,0.48,0.0,0.0,25.6,0,0,0,0.3,-0.3
105,Nicolás Capaldo, ARG,MF,RB Salzburg,24,1997,3.0,0,3,0,0.0,1.0,0.0,0.0,0.0,13.5,0,0,0,0.2,-0.2
106,Valentin Carboni, ARG,FW,Inter,17,2005,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
107,Fábio Cardoso, POR,DF,Porto,28,1994,4.0,0,3,0,0.0,0.75,0.0,0.0,0.0,9.1,0,0,0,0.2,-0.2
108,David Carmo, POR,DF,Porto,23,1999,5.0,0,2,1,50.0,0.4,0.2,0.0,0.0,12.0,0,0,0,0.2,-0.2
109,Carmona, ESP,DF,Sevilla,20,2002,5.0,0,3,0,0.0,0.6,0.0,0.0,0.0,15.5,0,0,0,0.5,-0.5
110,Yannick Carrasco, BEL,"DF,MF",Atlético Madrid,28,1993,3.0,1,12,5,41.7,3.94,1.64,0.08,0.2,23.0,2,0,1,1.7,-0.7
111,Cameron Carter-Vickers, USA,DF,Celtic,24,1997,4.0,0,2,0,0.0,0.5,0.0,0.0,0.0,12.0,0,0,0,0.1,-0.1
112,Dani Carvajal, ESP,DF,Real Madrid,30,1992,9.7,0,2,0,0.0,0.21,0.0,0.0,0.0,18.4,0,0,0,0.2,-0.2
113,Fabio Carvalho, POR,"MF,FW",Liverpool,19,2002,1.3,0,4,0,0.0,3.13,0.0,0.0,0.0,21.9,0,0,0,0.2,-0.2
114,Marc Casado, ESP,MF,Barcelona,18,2003,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
115,Dani Ceballos, ESP,MF,Real Madrid,25,1996,1.0,0,2,2,100.0,2.09,2.09,0.0,0.0,14.2,0,0,0,0.3,-0.3
116,Aleš Čermák, CZE,MF,Viktoria Plzeň,27,1994,0.4,0,1,0,0.0,2.81,0.0,0.0,0.0,15.4,0,0,0,0.0,0.0
117,El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
118,Trevoh Chalobah, ENG,DF,Chelsea,23,1999,4.9,0,6,0,0.0,1.23,0.0,0.0,0.0,13.1,0,0,0,0.6,-0.6
119,Timothy Chandler, USA,DF,Eint Frankfurt,32,1990,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,34.1,1,0,0,0.0,0.0
120,Tjaronn Chery, SUR,"MF,FW",Maccabi Haifa,34,1988,6.0,2,19,4,21.1,3.17,0.67,0.05,0.25,27.2,2,1,1,1.6,0.4
121,Federico Chiesa, ITA,FW,Juventus,24,1997,0.2,0,1,0,0.0,5.29,0.0,0.0,0.0,15.4,0,0,0,0.1,-0.1
122,Ben Chilwell, ENG,"DF,MF",Chelsea,25,1996,6.2,0,6,0,0.0,0.97,0.0,0.0,0.0,21.0,0,0,0,0.2,-0.2
123,Chiquinho, POR,MF,Benfica,27,1995,4.5,0,7,1,14.3,1.56,0.22,0.0,0.0,16.7,0,0,0,0.4,-0.4
124,Tomáš Chorý, CZE,FW,Viktoria Plzeň,27,1995,4.0,2,10,3,30.0,2.49,0.75,0.1,0.33,14.6,0,1,1,2.0,0.0
125,Andreas Christensen, DEN,DF,Barcelona,26,1996,2.4,0,1,1,100.0,0.42,0.42,0.0,0.0,12.2,0,0,0,0.1,-0.1
126,Viktor Claesson, SWE,"FW,MF",FC Copenhagen,30,1992,5.4,0,7,3,42.9,1.31,0.56,0.0,0.0,13.1,0,0,0,0.5,-0.5
127,Jonathan Clauss, FRA,DF,Marseille,29,1992,4.6,0,5,1,20.0,1.1,0.22,0.0,0.0,19.8,0,0,0,0.3,-0.3
128,William Clem, DEN,MF,FC Copenhagen,18,2004,1.9,0,3,0,0.0,1.59,0.0,0.0,0.0,20.9,0,0,0,0.2,-0.2
129,Sebastián Coates, URU,DF,Sporting CP,31,1990,4.4,0,2,0,0.0,0.46,0.0,0.0,0.0,11.0,0,0,0,0.1,-0.1
130,Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
131,Antonio Čolak, CRO,FW,Rangers,28,1993,3.2,0,4,1,25.0,1.27,0.32,0.0,0.0,14.6,0,0,0,0.2,-0.2
132,Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,5.9,1,14,5,35.7,2.36,0.84,0.07,0.2,16.7,0,0,0,1.0,0.0
133,Francisco Conceição, POR,"FW,MF",Ajax,19,2002,0.2,1,1,1,100.0,5.29,5.29,1.0,1.0,13.5,0,0,0,0.5,0.5
134,Rodrigo Conceição, POR,DF,Porto,22,2000,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
135,Andreas Cornelius, DEN,FW,FC Copenhagen,29,1993,1.2,0,1,0,0.0,0.83,0.0,0.0,0.0,10.0,0,0,0,0.1,-0.1
136,Pierre Cornud, FRA,DF,Maccabi Haifa,25,1996,4.1,0,1,0,0.0,0.24,0.0,0.0,0.0,25.4,0,0,0,0.0,0.0
137,Ángel Correa, ARG,"FW,MF",Atlético Madrid,27,1995,3.5,0,9,4,44.4,2.57,1.14,0.0,0.0,16.0,0,0,0,0.8,-0.8
138,Joaquín Correa, ARG,FW,Inter,27,1994,3.4,1,5,3,60.0,1.48,0.89,0.2,0.33,14.6,0,0,0,0.7,0.3
139,Bruno Xavier Almeida Costa, POR,MF,Porto,25,1997,0.8,0,1,0,0.0,1.23,0.0,0.0,0.0,28.5,0,0,0,0.0,0.0
140,Diogo Costa, POR,GK,Porto,22,1999,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
141,Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
142,Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
143,Juan Cuadrado, COL,"DF,MF",Juventus,34,1988,4.8,0,5,1,20.0,1.04,0.21,0.0,0.0,23.4,0,0,0,0.1,-0.1
144,Marc Cucurella, ESP,DF,Chelsea,24,1998,4.6,0,1,1,100.0,0.22,0.22,0.0,0.0,4.8,0,0,0,0.3,-0.3
145,Matheus Cunha, BRA,"FW,MF",Atlético Madrid,23,1999,1.4,0,5,1,20.0,3.69,0.74,0.0,0.0,16.1,0,0,0,0.6,-0.6
146,Danilo D'Ambrosio, ITA,DF,Inter,33,1988,1.8,0,2,1,50.0,1.12,0.56,0.0,0.0,14.1,0,0,0,0.2,-0.2
147,Danilo, BRA,DF,Juventus,31,1991,4.7,0,2,0,0.0,0.42,0.0,0.0,0.0,8.9,0,0,0,0.3,-0.3
148,Arnaut Danjuma, NED,MF,Tottenham,25,1997,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
149,Mohammed Daramy, DEN,FW,FC Copenhagen,20,2002,4.9,0,2,0,0.0,0.41,0.0,0.0,0.0,24.1,0,0,0,0.1,-0.1
150,Matteo Darmian, ITA,DF,Inter,32,1989,9.1,0,2,0,0.0,0.22,0.0,0.0,0.0,19.2,0,0,0,0.1,-0.1
151,Dean David, ISR,"FW,DF",Maccabi Haifa,26,1996,2.6,1,10,1,10.0,3.8,0.38,0.1,1.0,15.9,0,0,0,1.9,-0.9
152,Alphonso Davies, CAN,DF,Bayern Munich,21,2000,6.7,0,5,2,40.0,0.75,0.3,0.0,0.0,15.9,0,0,0,0.5,-0.5
153,Ben Davies, WAL,DF,Tottenham,29,1993,4.4,0,2,0,0.0,0.46,0.0,0.0,0.0,31.0,0,0,0,0.0,0.0
154,Ben Davies, ENG,DF,Rangers,26,1995,2.9,0,2,0,0.0,0.69,0.0,0.0,0.0,20.1,0,0,0,0.1,-0.1
155,Steven Davis, NIR,MF,Rangers,37,1985,2.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
156,Kevin De Bruyne, BEL,MF,Manchester City,31,1991,8.0,2,16,7,43.8,2.01,0.88,0.13,0.29,23.6,2,0,0,1.3,0.7
157,Charles De Ketelaere, BEL,"MF,FW",Milan,21,2001,2.6,0,4,1,25.0,1.54,0.38,0.0,0.0,12.0,0,0,0,0.5,-0.5
158,Rodrigo De Paul, ARG,MF,Atlético Madrid,28,1994,2.8,1,5,4,80.0,1.76,1.41,0.2,0.25,24.5,0,0,0,0.2,0.8
159,Mattia De Sciglio, ITA,DF,Juventus,29,1992,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
160,Amar Dedić, BIH,DF,RB Salzburg,19,2002,6.0,0,3,1,33.3,0.5,0.17,0.0,0.0,18.7,0,0,0,0.1,-0.1
161,Thomas Delaney, DEN,MF,Sevilla,30,1991,2.6,0,3,0,0.0,1.17,0.0,0.0,0.0,19.8,0,0,0,0.2,-0.2
162,Ousmane Dembélé, FRA,FW,Barcelona,25,1997,4.6,1,10,5,50.0,2.18,1.09,0.1,0.2,20.4,0,0,0,1.1,-0.1
163,Kerem Demirbay, GER,MF,Leverkusen,29,1993,3.0,0,6,2,33.3,2.01,0.67,0.0,0.0,27.0,0,0,1,1.1,-1.1
164,Sergiño Dest, USA,DF,Milan,21,2000,2.1,0,2,0,0.0,0.94,0.0,0.0,0.0,8.5,0,0,0,0.3,-0.3
165,Giovanni Di Lorenzo, ITA,DF,Napoli,28,1993,9.9,2,13,5,38.5,1.32,0.51,0.15,0.4,12.3,0,0,0,1.2,0.8
166,Ángel Di María, ARG,FW,Juventus,34,1988,1.6,0,4,1,25.0,2.47,0.62,0.0,0.0,15.5,0,0,0,0.3,-0.3
167,Moussa Diaby, FRA,"FW,MF",Leverkusen,23,1999,5.6,2,16,10,62.5,2.85,1.78,0.13,0.2,18.6,0,0,0,1.7,0.3
168,Abdou Diallo, SEN,"DF,MF",RB Leipzig,26,1996,2.5,0,1,0,0.0,0.4,0.0,0.0,0.0,32.5,0,0,0,0.0,0.0
169,Rúben Dias, POR,DF,Manchester City,25,1997,11.7,1,13,5,38.5,1.12,0.43,0.08,0.2,11.3,0,0,0,1.7,-0.7
170,Brahim Díaz, ESP,"MF,FW",Milan,22,1999,6.7,1,11,4,36.4,1.64,0.6,0.09,0.25,15.6,0,0,0,1.6,-0.6
171,Luis Díaz, COL,FW,Liverpool,25,1997,3.0,1,9,3,33.3,3.01,1.0,0.11,0.33,18.5,0,0,0,0.5,0.5
172,Eric Dier, ENG,DF,Tottenham,28,1994,6.9,0,9,2,22.2,1.31,0.29,0.0,0.0,12.4,1,0,0,1.1,-1.1
