Player,Nationality,Position,Club,Age,Born,90s,SCA,SCA/90,SCA (PassLive),SCA (PassDead),SCA (TO),SCA(Sh),SCA(Fld),SCA(Def),GCA,GCA/90,GCA (PassLive),GCA (PassDead),GCA (TO),GCA (Sh),GCA (Fld),GCA (Def)
Sergio Busquets, ESP,MF,Barcelona,34,1988,3.2,8,2.5,6,0,0,0,2,0,0,0.0,0,0,0,0,0,0.0
Jamie Bynoe-Gittens, ENG,MF,Dortmund,17,2004,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Eduardo Camavinga, FRA,"MF,DF",Real Madrid,19,2002,8.0,13,1.62,12,0,0,0,1,0,2,0.25,2,0,0,0,0,0.0
Emre Can, GER,MF,Dortmund,28,1994,6.3,4,0.64,3,0,0,0,0,1,1,0.16,1,0,0,0,0,0.0
João Cancelo, POR,DF,Bayern Munich,28,1994,1.4,3,2.21,3,0,0,0,0,0,1,0.74,1,0,0,0,0,0.0
João Cancelo, POR,DF,Manchester City,28,1994,4.2,12,2.86,10,0,0,1,1,0,4,0.95,4,0,0,0,0,0.0
Dani Carvajal, ESP,DF,Real Madrid,30,1992,9.7,22,2.28,19,1,0,0,1,1,1,0.1,1,0,0,0,0,0.0
Marc Casado, ESP,MF,Barcelona,18,2003,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Dani Ceballos, ESP,MF,Real Madrid,25,1996,1.0,4,4.14,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0
El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
Andreas Christensen, DEN,DF,Barcelona,26,1996,2.4,4,1.67,4,0,0,0,0,0,1,0.42,1,0,0,0,0,0.0
Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,5.9,31,5.23,26,0,4,0,1,0,2,0.34,2,0,0,0,0,0.0
