Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Non-penalty expected goals,non-penalty expected goals/shot,Goals minus expected goals,Non-penalty goals minus non-penalty expected goals,Unnamed: 24
Andreas Christensen, DEN,DF,Barcelona,26,1996,2.4,0,1,1,100.0,0.42,0.42,0.0,0.0,12.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,
Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,5.9,1,14,5,35.7,2.36,0.84,0.07,0.2,16.7,0,0,0,1.0,1.0,0.07,0.0,0,
Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Alphonso Davies, CAN,DF,Bayern Munich,21,2000,6.7,0,5,2,40.0,0.75,0.3,0.0,0.0,15.9,0,0,0,0.5,0.5,0.1,-0.5,-0.5,
Kevin De Bruyne, BEL,MF,Manchester City,31,1991,8.0,2,16,7,43.8,2.01,0.88,0.13,0.29,23.6,2,0,0,1.3,1.3,0.08,0.7,0.7,
Ousmane Dembélé, FRA,FW,Barcelona,25,1997,4.6,1,10,5,50.0,2.18,1.09,0.1,0.2,20.4,0,0,0,1.1,1.1,0.11,-0.1,-0.1,
Rúben Dias, POR,DF,Manchester City,25,1997,11.7,1,13,5,38.5,1.12,0.43,0.08,0.2,11.3,0,0,0,1.7,1.7,0.13,-0.7,-0.7,
Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Ederson, BRA,GK,Manchester City,28,1993,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Hugo Ekitike, FRA,"MF,FW",Paris S-G,20,2002,0.7,0,2,2,100.0,2.9,2.9,0.0,0.0,14.1,0,0,0,0.2,0.2,0.09,-0.2,-0.2,
Ansu Fati, ESP,FW,Barcelona,19,2002,2.7,0,13,2,15.4,4.8,0.74,0.0,0.0,16.6,0,0,0,0.9,0.9,0.07,-0.9,-0.9,
Phil Foden, ENG,"MF,FW",Manchester City,22,2000,4.3,1,9,5,55.6,2.11,1.17,0.11,0.2,16.1,0,0,0,1.0,1.0,0.11,0.0,0,
Eric García, ESP,DF,Barcelona,21,2001,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Gavi, ESP,MF,Barcelona,17,2004,3.7,0,2,0,0.0,0.55,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,
Serge Gnabry, GER,"FW,MF",Bayern Munich,27,1995,3.8,2,10,4,40.0,2.62,1.05,0.2,0.5,19.3,1,0,0,1.3,1.3,0.13,0.7,0.7,
Sergio Gómez, ESP,"DF,MF",Manchester City,21,2000,3.4,0,7,2,28.6,2.07,0.59,0.0,0.0,22.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,
Leon Goretzka, GER,MF,Bayern Munich,27,1995,6.7,2,16,7,43.8,2.38,1.04,0.13,0.29,18.7,0,0,0,1.8,1.8,0.12,0.2,0.2,
Ryan Gravenberch, NED,MF,Bayern Munich,20,2002,2.8,0,4,2,50.0,1.42,0.71,0.0,0.0,20.8,0,0,0,0.5,0.5,0.13,-0.5,-0.5,
Jack Grealish, ENG,FW,Manchester City,26,1995,10.4,0,16,3,18.8,1.54,0.29,0.0,0.0,17.4,0,0,0,1.0,1.0,0.06,-1.0,-1,
Raphaël Guerreiro, POR,DF,Dortmund,28,1993,5.3,2,6,3,50.0,1.13,0.56,0.33,0.67,22.8,0,0,0,0.7,0.7,0.12,1.3,1.3,
İlkay Gündoğan, GER,MF,Manchester City,31,1990,11.0,1,19,8,42.1,1.72,0.72,0.05,0.13,19.4,1,0,0,1.6,1.6,0.08,-0.6,-0.6,
Erling Haaland, NOR,FW,Manchester City,22,2000,9.3,12,39,25,64.1,4.17,2.68,0.28,0.44,12.1,0,1,2,10.7,9.1,0.23,1.3,1.9,
Achraf Hakimi, MAR,"DF,MF",Paris S-G,23,1998,6.4,0,4,2,50.0,0.62,0.31,0.0,0.0,15.6,0,0,0,0.5,0.5,0.13,-0.5,-0.5,
Sébastien Haller, CIV,FW,Dortmund,28,1994,1.6,0,2,0,0.0,1.26,0.0,0.0,,10.2,0,0,0,0.2,0.2,0.11,-0.2,-0.2,
Eden Hazard, BEL,"FW,MF",Real Madrid,31,1991,1.5,1,2,1,50.0,1.36,0.68,0.5,1.0,6.9,0,0,0,0.9,0.9,0.44,0.1,0.1,
Thorgan Hazard, BEL,"DF,FW",Dortmund,29,1993,2.2,1,4,1,25.0,1.8,0.45,0.25,1.0,21.2,1,0,0,0.3,0.3,0.06,0.7,0.7,
Lucas Hernández, FRA,DF,Bayern Munich,26,1996,1.9,1,1,1,100.0,0.52,0.52,1.0,1.0,3.3,0,0,0,0.4,0.4,0.36,0.6,0.6,
Mats Hummels, GER,DF,Dortmund,33,1988,3.5,0,1,0,0.0,0.29,0.0,0.0,,8.5,0,0,0,0.0,0.0,0.04,0.0,0,
Frenkie de Jong, NED,MF,Barcelona,25,1997,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Vinicius Júnior, BRA,FW,Real Madrid,22,2000,10.8,7,38,19,50.0,3.52,1.76,0.18,0.37,13.6,0,0,0,6.5,6.5,0.17,0.5,0.5,
Franck Kessié, CIV,MF,Barcelona,25,1996,3.0,1,3,2,66.7,0.99,0.66,0.33,0.5,8.8,0,0,0,0.3,0.3,0.09,0.7,0.7,
